fecha,tipo,fondo,cuotapartes,valor_cp,tenencia,resultado
2020-09-22T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.545323,364108.89,24108.89
2020-09-22T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.620949,35638.91,1811.88
2020-09-21T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.610956,1143.62,-256.38
2020-09-21T03:00:00.000Z,,Superfondo Renta $,20976.546,4.784752,100367.55,3113.31
2020-09-21T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.525304,363564.78,23564.78
2020-09-21T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.617585,35583.72,1756.69
2020-09-18T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,6.610956,1100.44,-299.56
2020-09-18T03:00:00.000Z,,Superfondo Renta $,20976.546,4.784752,100250.15,2995.91
2020-09-18T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.525304,363116.58,23116.58
2020-09-18T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.617585,35565.13,1738.1
2020-08-20T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.704113,1332.73,-67.27
2020-08-20T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.702383,52397.84,2071.21
2020-08-20T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.350371,356104.69,16104.69
2020-08-20T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.592747,35037.33,1210.3
2020-08-19T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.545887,1305.36,-94.64
2020-08-19T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.647012,51780.85,1454.22
2020-08-19T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.34644,355937.06,15937.06
2020-08-19T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.591914,35019.01,1191.98
2020-08-13T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,7.816051,1352.09,-47.91
2020-08-13T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.763112,53074.53,2747.9
2020-08-13T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.30621,354221.43,14221.43
2020-08-13T03:00:00.000Z,Mercado de Dinero en pesos,Super Ahorro $,21998.0558,1.587026,34911.48,1084.45
2020-08-12T03:00:00.000Z,Renta Variable en Pesos,Superfondo Acciones,172.9897,8.092967,1400,0
2020-08-12T03:00:00.000Z,,Superfondo Renta $,11142.8287,4.805098,53542.38,3215.75
2020-08-12T03:00:00.000Z,Renta Fija en Pesos,Supergestión MIX VI,42645.377,8.295719,353774.04,13774.04
